ID|DateObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2019-06-03|4C29-45-20190603@150728-R_Astrodon_2018.fts|4C29-45|11 59 31.80|+29 14 44.0|179.88249999999996|29.245555555555555|1023.3892438955756|946.7531100563724|R_Astrodon_2018|2458638.1302314815|180.0|20.6653293231|3.19595712423|36.7873|1.68587103676
2|2019-06-03|4C71-07-20190603@132235-R_Astrodon_2018.fts|4C71-07|08 41 24.30|+70 53 42.0|130.35125|70.89500000000001|1027.6960742904816|1024.0418374836995|R_Astrodon_2018|2458638.057384259|180.0|19.9689521784|3.44882625341|24.4216|2.42386681539
3|2019-06-03|4C71-07-20190603@132552-R_Astrodon_2018.fts|4C71-07|08 41 24.30|+70 53 42.0|130.35125|70.89500000000001|1029.4068696788988|1022.5003722472203|R_Astrodon_2018|2458638.059641204|180.0|18.7320671168|3.46360888481|24.1551|2.44918155477
4|2019-06-03|Mkn421-20190603@150009-R_Astrodon_2018.fts|Mkn421|11 04 27.30|+38 12 32.0|166.11374999999998|38.20888888888889|963.3263329412409|1063.7168311047735|R_Astrodon_2018|2458638.125150463|180.0|19.8983713456|3.97262550592|28.2876|2.12996876425
5|2019-06-03|Mkn421-20190603@150327-R_Astrodon_2018.fts|Mkn421|11 04 27.30|+38 12 32.0|166.11374999999998|38.20888888888889|963.6557901050334|1066.434024713544|R_Astrodon_2018|2458638.1274074074|180.0|21.089327211|3.87268693447|27.6552|2.17524870564
6|2019-06-03|OJ248-20190603@130014-R_Astrodon_2018.fts|OJ248|08 30 52.10|+24 11 00.0|127.71708333333332|24.183333333333334|1042.5460791776013|950.9242408229766|R_Astrodon_2018|2458638.041875|180.0|20.703853023|4.91970715523|18.0263|3.27890451767
7|2019-06-03|OJ248-20190603@130331-R_Astrodon_2018.fts|OJ248|08 30 52.10|+24 11 00.0|127.71708333333332|24.183333333333334|1044.4589822549524|943.4337211814793|R_Astrodon_2018|2458638.0441203704|180.0|20.0474349947|4.39919447899|17.3245|3.40940229019
8|2019-06-03|OJ287-20190603@130706-R_Astrodon_2018.fts|OJ287|08 54 48.90|+20 06 31.0|133.70374999999999|20.108611111111113|1018.9578017768035|998.8329327076314|R_Astrodon_2018|2458638.0466087963|180.0|21.2741490835|3.98664553165|20.5098|2.89501345465
9|2019-06-03|S5_0716+71-20190603@131459-R_Astrodon_2018.fts|S5_0716+71|07 21 53.40|+71 20 36.0|110.47249999999998|71.34333333333333|1028.3814678990743|1022.0336046474887|R_Astrodon_2018|2458638.0521064815|180.0|19.0809535695|4.1116165638|18.7835|3.10433963223
10|2019-06-03|S5_0716+71-20190603@131817-R_Astrodon_2018.fts|S5_0716+71|07 21 53.40|+71 20 36.0|110.47249999999998|71.34333333333333|1029.8045855286282|1021.2560489642482|R_Astrodon_2018|2458638.054363426|180.0|18.8322777523|3.7657438755|18.536|3.14406476027
11|2019-06-04|3C345-20190604@171645-R_Astrodon_2018.fts|3C345|16 42 58.80|+39 48 37.0|250.74499999999995|39.81027777777778|1030.4370390769902|1014.6519454972114|R_Astrodon_2018|2458639.2199768517|180.0|20.8657990838|2.00396181941|65.1566|1.10502343582
12|2019-06-04|3C345-20190604@172000-R_Astrodon_2018.fts|3C345|16 42 58.80|+39 48 37.0|250.74499999999995|39.81027777777778|1030.6350870020021|1015.7638680046055|R_Astrodon_2018|2458639.222222222|180.0|20.8833110125|1.98981960416|64.6396|1.1098812379
13|2019-06-04|3C371-20190604@173822-R_Astrodon_2018.fts|3C371|18 06 50.70|+69 49 28.0|271.71124999999995|69.82444444444444|1041.7912910818718|1053.8493834287208|R_Astrodon_2018|2458639.235011574|180.0|21.3079608437|2.22840752602|43.4763|1.45262475506
14|2019-06-04|3C454-3-20190604@175352-R_Astrodon_2018.fts|3C454-3|22 53 57.70|+16 08 54.0|343.49041666666665|16.148333333333333|1025.9206853930261|1041.334061484141|R_Astrodon_2018|2458639.245752315|180.0|20.537621619|3.10234183073|32.304|1.83953541792
15|2019-06-04|3C454-3-20190604@175707-R_Astrodon_2018.fts|3C454-3|22 53 57.70|+16 08 54.0|343.49041666666665|16.148333333333333|1026.1396221467187|1039.1711840686023|R_Astrodon_2018|2458639.2480092593|180.0|20.6189077341|2.95140807629|33.0488|1.80325752643
16|2019-06-04|4C38-41-20190604@170958-R_Astrodon_2018.fts|4C38-41|16 35 15.50|+38 08 04.0|248.81458333333327|38.13444444444444|1027.7684646286634|1014.2170252325453|R_Astrodon_2018|2458639.2152662035|180.0|21.2491454897|2.00385868549|65.9135|1.09848255373
