ID|DateObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2019-10-02|3C66A-20191002@191923-R_Astrodon_2018.fts|3C66A|02 22 39.60|+43 02 08.0|35.665|43.035555555555554|R_Astrodon_2018|2458759.3051967593|180.0|21.6642656851|2.32621264458|60.7907|1.14931580143
2|2019-10-02|3C66A-20191002@192245-R_Astrodon_2018.fts|3C66A|02 22 39.60|+43 02 08.0|35.665|43.035555555555554|R_Astrodon_2018|2458759.307476852|180.0|21.6687489294|2.25507411957|60.2864|1.15515563163
3|2019-10-02|AO0235+16-20191002@192713-R_Astrodon_2018.fts|AO0235+16|02 38 38.90|+16 36 59.0|39.66208333333333|16.616388888888892|R_Astrodon_2018|2458759.310636574|180.0|21.8119882954|2.09208008647|66.2324|1.0959401156
4|2019-10-02|AO0235+16-20191002@193034-R_Astrodon_2018.fts|AO0235+16|02 38 38.90|+16 36 59.0|39.66208333333333|16.616388888888892|R_Astrodon_2018|2458759.3128935187|180.0|21.8064329776|2.24724614024|65.5011|1.10245770538
5|2019-10-02|ES2344+514-20191002@191148-R_Astrodon_2018.fts|ES2344+514|23 47 04.00|+51 42 18.0|356.76666666666665|51.705000000000005|R_Astrodon_2018|2458759.2999305557|180.0|21.6449869161|3.04524279833|34.6098|1.77152287106
6|2019-10-02|ES2344+514-20191002@191512-R_Astrodon_2018.fts|ES2344+514|23 47 04.00|+51 42 18.0|356.76666666666665|51.705000000000005|R_Astrodon_2018|2458759.302222222|180.0|21.651400512|2.91832060814|34.0991|1.79491933666
7|2019-10-02|OJ248-20191002@194318-R_Astrodon_2018.fts|OJ248|08 30 52.10|+24 11 00.0|127.71708333333332|24.183333333333334|R_Astrodon_2018|2458759.3218055554|180.0|21.0774152435|3.70360559225|35.7762|1.68822729822
8|2019-10-02|OJ248-20191002@194645-R_Astrodon_2018.fts|OJ248|08 30 52.10|+24 11 00.0|127.71708333333332|24.183333333333334|R_Astrodon_2018|2458759.3241435187|180.0|21.0365013066|3.2261251092|36.5286|1.65959228759
9|2019-10-02|OJ287-20191002@195010-R_Astrodon_2018.fts|OJ287|08 54 48.90|+20 06 31.0|133.70374999999999|20.108611111111113|R_Astrodon_2018|2458759.3265046296|180.0|21.6012858009|3.44468635321|30.9235|1.91555668042
10|2019-10-02|OJ287-20191002@195325-R_Astrodon_2018.fts|OJ287|08 54 48.90|+20 06 31.0|133.70374999999999|20.108611111111113|R_Astrodon_2018|2458759.3287731484|180.0|21.6100136212|3.14020018578|31.6632|1.87606097476
11|2019-10-02|OJ49-20191002@203857-R_Astrodon_2018.fts|OJ49|08 31 48.90|+04 29 39.0|127.95375|4.494166666666667|R_Astrodon_2018|2458759.3604398146|180.0|21.0779981663|2.23867691159|41.7526|1.48735525367
12|2019-10-02|OJ49-20191002@204216-R_Astrodon_2018.fts|OJ49|08 31 48.90|+04 29 39.0|127.95375|4.494166666666667|R_Astrodon_2018|2458759.3626967594|180.0|21.0905192615|2.41191293001|42.4706|1.46718766566
13|2019-10-02|PKS0735+17-20191002@193557-R_Astrodon_2018.fts|PKS0735+17|07 38 07.40|+17 42 19.0|114.53083333333332|17.705277777777777|R_Astrodon_2018|2458759.316689815|180.0|21.5772720155|2.70557669401|44.5146|1.41343056786
14|2019-10-02|PKS0735+17-20191002@193918-R_Astrodon_2018.fts|PKS0735+17|07 38 07.40|+17 42 19.0|114.53083333333332|17.705277777777777|R_Astrodon_2018|2458759.3189699072|180.0|21.5727469823|2.85662411451|45.2691|1.39521513759
15|2019-10-02|S5_0716+71-20191002@205027-R_Astrodon_2018.fts|S5_0716+71|07 21 53.40|+71 20 36.0|110.47249999999998|71.34333333333333|R_Astrodon_2018|2458759.3684259257|180.0|21.4397271888|2.14310264587|39.9237|1.55324014952
16|2019-10-02|S5_0716+71-20191002@205346-R_Astrodon_2018.fts|S5_0716+71|07 21 53.40|+71 20 36.0|110.47249999999998|71.34333333333333|R_Astrodon_2018|2458759.3706828705|180.0|21.3914034704|2.09444645047|40.0569|1.54898077775
